"first_author","affiliation","publications","citations","year_start","year_end","top_topics","publication_types","top_authors","top_journals","top_institutions","top_conferences","not_found"
"Wael Abdel Halim Hegazy","University of Osnabrück","5",123,2012,2015,"Biology|Immunology|Antigen|Type three secretion system|Virology|Salmonella enterica|Salmonella|Microbiology|Heterologous vaccine|Effector","Journal publications","Michael Hensel|Leonid S. Metelitsa|Xin Xu|Linjie Guo|Xiuhua Gao|Suhrab Kurbanov|Daofeng Liu|Gengwen Tian|Amy N. Courtney|Don J. Diamond","Infection and Immunity|Cancer Research|Future Microbiology|Journal of Immunology","Center for Cell and Gene Therapy|Beckman Research Institute|University of Osnabrück",NA,NA
"Yun Sun","Fudan University","43",6858,2010,2016,"Photon upconversion|Luminescence|Nanotechnology|Materials science|Chemistry|Nanoparticle|Inorganic chemistry|Analytical chemistry|Upconversion nanoparticles|Photoluminescence","Journal publications|Patents|Other","Fuyou Li|Wei Feng|Qian Liu|Tianshe Yang|Jing Zhou|Xingjun Zhu|Wei Feng|Jing Zhou|Qian Liu|Min Chen","Biomaterials|Journal of the American Chemical Society|Chemical Reviews|ACS Nano|Nature Communications|Advanced Functional Materials|Chemical Society Reviews|Molecular Neurobiology|Inorganic Chemistry|Theranostics","Fudan University|East China Normal University|Beijing Normal University|Peking Union Medical College|Shanghai Jiao Tong University|East China University of Science and Technology|Nanjing Agricultural University|Donghua University|Shanghai Normal University|Tongji University",NA,NA
"Carlos J. Blondel","Harvard University","25",787,2007,2019,"Biology|Genetics|Microbiology|Virology|Salmonella|Pathogen|Gene|Virulence|CRISPR|Type three secretion system","Journal publications|Repository papers|Other","Matthew K. Waldor|Brigid M. Davis|Carlos A. Santiviago|Inés Contreras|John G. Doench|Troy P. Hubbard|Alline R. Pacheco|Jacob E. Lazarus|Helene Andrews-Polymenis|Sören Abel","PLOS ONE|bioRxiv|PLOS Pathogens|Mbio|Proceedings of the National Academy of Sciences of the United States of America|Infection and Immunity|Cell Host & Microbe|iScience|BMC Genomics|Journal of Medical Microbiology","University of Chile|Brigham and Women's Hospital|Harvard University|Broad Institute|Boston Children's Hospital|University of California, Irvine|Texas A&M University System|European Bioinformatics Institute|University of Connecticut|University of Nottingham",NA,NA
"Kelei Zhao","University of North Dakota","3",26,2013,2015,"Biology|Bacterial outer membrane|Virology|Toll-like receptor|Immune system|Pseudomonas aeruginosa|Vesicle|Bioinformatics|Signal transduction|Cell biology","Journal publications","Bisong Yue|Min Wu|Xin Deng|Chuan He|Yi Li","Infection and Immunity|PLOS ONE","Sichuan University|University of North Dakota|University of Chicago",NA,NA
"Whitney M. Amyot","Tufts University","5",161,2011,2014,"Biology|Legionella pneumophila|Chromosomal translocation|Transport protein|Cell biology|Gene|Membrane transport protein|Antigen|Protein Sorting Signals|Intracellular","Journal publications|Other","Ralph R. Isberg|Andrew D. Hempstead|Timothy P. Montminy|Tamara J. O'Connor|Zhao-Qing Luo|Dana Boyd|Cui Chen|Li-Li Huang|Matthias P. Machner|Dennise deJesus","Cellular Microbiology|Infection and Immunity|Structure","Tufts University|Howard Hughes Medical Institute|Harvard University|Boston University|Georgia Institute of Technology",NA,NA
"Xianqiong Zou","University of Minnesota","3",27,2013,2015,"Biology|Messenger RNA|Virology|Molecular biology|Cell culture|Bacteria|Innate immune system|Immunology|Cathelicidin|Effector","Journal publications","Karen F. Ross|Mark C. Herzberg|Brent S. Sorenson|Yuka Hiroshima|Mika Bando|Toshihiko Nagata|Yasuo Shinohara|Masatoshi Kataoka|Jun-ichi Kido","Infection and Immunity|Biochimica et Biophysica Acta","University of Minnesota|Vaccine Research Center|National Institute of Advanced Industrial Science and Technology|University of Tokushima",NA,NA
"Xiucai Xu","Anhui Medical University","23",632,2007,2015,"Biology|Toxoplasma gondii|Immunology|Virology|Virulence|Medicine|Genotype|Molecular biology|Genotyping|Diabetes mellitus","Journal publications|Other","Jilong Shen|Qingli Luo|Aimei Zhang|Zhao-Rong Lun|Yong Wang|Xingxing Huo|Fangli Lu|Qing Li|He Chen|Xuelong Wang","PLOS ONE|Infection and Immunity|International Journal of Clinical and Experimental Pathology|Journal of Biological Chemistry|Leukemia Research|International Journal of Food Microbiology|Human Immunology|Cellular Signalling|Parasitology Research|Journal of Clinical Immunology","Anhui Medical University|Sun Yat-sen University|Nanjing Medical University|Anhui University|Huazhong University of Science and Technology|Ministry of Education|University of Sydney|University of Newcastle",NA,NA
"Jiale Ma","Nanjing Agricultural University","28",230,2013,2019,"Biology|Virology|Microbiology|Streptococcus suis|Virulence|Pathogenic Escherichia coli|Gene|Genotype|Genotyping|Porcine epidemic diarrhea virus","Journal publications","Huochun Yao|Chengping Lu|Zihao Pan|Wenyang Dong|Min Sun|Wei Zhang|Wenchao Song|Yue Zhang|Yinchu Zhu|Yinli Bao","Infection and Immunity|Journal of Clinical Microbiology|Applied and Environmental Microbiology|Microbial Pathogenesis|Infection, Genetics and Evolution|Biochimica et Biophysica Acta|Fems Microbiology Letters|Research in Veterinary Science|Veterinary Microbiology|Veterinary Research","Nanjing Agricultural University|Free University of Berlin|South Dakota State University|University of South China",NA,NA
"N. Zhi","Ohio State University","21",2111,1997,2006,"Biology|Virology|Ehrlichia chaffeensis|Ehrlichia|Anaplasma|Anaplasmataceae|Microbiology|Rickettsiales|Gene|Genetics","Journal publications|Patents|Other","Yasuko Rikihisa|Norio Ohashi|Quan Lin|Ramana Madupu|Tanja M. Davidsen|Samuel V. Angiuoli|Rebecca A. Halpin|Hoda Khouri|Daniel H. Haft|Jonathan A. Eisen","Journal of Clinical Microbiology|PLOS Genetics|Infection and Immunity|Journal of Biological Chemistry|The Journal of Infectious Diseases|Clinical and Vaccine Immunology|Molecular Microbiology","Ohio State University|New York Medical College|New York State Department of Health|Harvard University|Centers for Disease Control and Prevention",NA,NA
"Michael Waters","Oregon State University","4",368,2003,2006,"Clostridium perfringens|Biology|Microbiology|Plasmid|Clostridiaceae|Genotype|Virology|Genotyping|Restriction fragment length polymorphism|Virulence","Journal publications","Mahfuzur R. Sarker|Michel R. Popoff|Helen S. Garmory|Bruce A. McClane|J. Glenn Songer|Richard W. Titball|Dawn M. Bueschel|Amanda Savoie|Deepa Raju|Peter Setlow","Journal of Clinical Microbiology|BMC Microbiology|Fems Microbiology Letters","Oregon State University|Pasteur Institute|University of Arizona|University of Pittsburgh|University of Connecticut Health Center|Salisbury University",NA,NA
"Sou-Ichi Makino","Obihiro University of Agriculture and Veterinary Medicine","90",4901,1983,2019,"Biology|Microbiology|Molecular biology|Plasmid|Virulence|Virology|Escherichia coli|Polymerase chain reaction|Bacillus anthracis|Genetics","Journal publications|Other|Patents|Book chapters","Keiko Kawamoto|Hiroshi Asakura|Toshikazu Shirahata|Chihiro Sasakawa|Masahisa Watarai|Hyeng-il Cheun|Tetsuya Ikeda|Wanpen Chaicumpa|Hisao Kurazono|Ikuo Uchida","Applied and Environmental Microbiology|Journal of Clinical Microbiology|Journal of Bacteriology|Journal of Veterinary Medical Science|Journal of Biological Chemistry|Letters in Applied Microbiology|Molecular Microbiology|Fems Microbiology Letters|Journal of Applied Microbiology|Journal of Medical Entomology","Obihiro University of Agriculture and Veterinary Medicine|University of Tokyo|Gifu University|University of Tsukuba|Mahidol University|RMIT University|Thammasat University|Nara Institute of Science and Technology|Kyoto University|Ministry of Agriculture, Forestry and Fisheries",NA,NA
"Chung-ming Chu","United Christian Hospital","74",4537,1999,2019,"Medicine|Coronavirus|Immunology|Respiratory disease|Internal medicine|Viral disease|Surgery|ARDS|Viral load|Severe acute respiratory syndrome (SARS)","Journal publications|Other","Kwok-Yung Yuen|Kwok-Hung Chan|Yi Guan|Leo L. M. Poon|Ivan F. N. Hung|Joseph S. M. Peiris|Bone S. F. Tang|V. C. C. Cheng|Bo-Jian Zheng|CS Chan","The Lancet|Journal of Virology|Chest|Clinical Infectious Diseases|The Journal of Infectious Diseases|Respirology|Emerging Infectious Diseases|European Respiratory Journal|Journal of The American Society of Nephrology|QJM: An International Journal of Medicine","United Christian Hospital|University of Hong Kong|Hong Kong Department of Health|Hospital Authority|Pamela Youde Nethersole Eastern Hospital|Tseung Kwan O Hospital|The Chinese University of Hong Kong|Li Ka Shing Faculty of Medicine, University of Hong Kong|Imperial College London|Medanta",NA,NA
"Patrick C. Y. Woo","University of Hong Kong","526",25385,1989,2020,"Biology|Virology|Microbiology|Coronavirus|Genetics|Betacoronavirus|Immunology|Medicine|Genome|Virus","Journal publications|Other|Repository papers|Book chapters","Kwok-Yung Yuen|Susanna K. P. Lau|Kwok-Hung Chan|Jade L. L. Teng|Yi Huang|Hoi-Wah Tsoi|Samson S. Y. Wong|Kenneth S. M. Li|Herman Tse|Beatrice H. L. Wong","Journal of Virology|Journal of Clinical Microbiology|Proceedings of the National Academy of Sciences of the United States of America|Journal of General Virology|Emerging Infectious Diseases|Diagnostic Microbiology and Infectious Disease|Emerging microbes & infections|PLOS ONE|The Journal of Infectious Diseases|Scientific Reports","University of Hong Kong|Pamela Youde Nethersole Eastern Hospital|Tuen Mun Hospital|Centers for Disease Control and Prevention|Kwong Wah Hospital|United Christian Hospital|Leiden University Medical Center|Chinese Academy of Sciences|Ain Shams University|University of North Carolina at Chapel Hill",NA,NA
"Wulamu Mamuti","Xinjiang Medical University","26",1114,2002,2018,"Biology|Echinococcus granulosus|Virology|Echinococcus multilocularis|Echinococcus|Antigen|Taenia solium|Echinococcosis|Microbiology|Genotype","Journal publications|Other","Akira Ito|Minoru Nakao|Kazuhiro Nakaya|Hiroshi Yamasaki|Philip S. Craig|Yasuhito Sako|Ning Xiao|Marcello Otake Sato|Marshall W. Lightowlers|Yasuhito Sako","Journal of Clinical Microbiology|International Journal for Parasitology|Parasitology International|Experimental Parasitology|Acta Tropica|Southeast Asian Journal of Tropical Medicine and Public Health|Clinical and Vaccine Immunology|American Journal of Tropical Medicine and Hygiene|Parasitology Research|Experimental and Therapeutic Medicine","Xinjiang Medical University|Asahikawa Medical College|University of Salford|Centers for Disease Control and Prevention|University of Melbourne|University of Franche-Comté|Pfizer|First Affiliated Hospital of Xinjiang Medical University|Tottori University|Hokkaido University",NA,NA
"Jean-Philippe Lavigne","University of Montpellier","236",5498,2002,2019,"Microbiology|Biology|Medicine|Virulence|Escherichia coli|Virology|Multilocus sequence typing|Genotype|Genetics|Diabetic foot","Journal publications|Other","Albert Sotto|Véronique Leflon-Guibout|Alix Pantel|Jorge Blanco|Catherine Dunyach-Remy|Marie-Hélène Nicolas-Chanoine|J.-L. Richard|James R. Johnson|Raphael Demarty|Maria Manuela Caniça","Journal of Antimicrobial Chemotherapy|Clinical Microbiology and Infection|PLOS ONE|Antimicrobial Agents and Chemotherapy|European Journal of Clinical Microbiology & Infectious Diseases|Journal of Clinical Microbiology|BMC Infectious Diseases|Diabetes & Metabolism|Pathologie Biologie|Medecine Et Maladies Infectieuses","French Institute of Health and Medical Research|University of Montpellier|University of Paris|University of Santiago de Compostela|University of Minnesota|University of Calgary|Catholic University of Korea|University of Geneva|Centre national de la recherche scientifique|Aix-Marseille University",NA,NA
"Michael Waters","Oregon State University","4",368,2003,2006,"Clostridium perfringens|Biology|Microbiology|Plasmid|Clostridiaceae|Genotype|Virology|Genotyping|Restriction fragment length polymorphism|Virulence","Journal publications","Mahfuzur R. Sarker|Michel R. Popoff|Helen S. Garmory|Bruce A. McClane|J. Glenn Songer|Richard W. Titball|Dawn M. Bueschel|Amanda Savoie|Deepa Raju|Peter Setlow","Journal of Clinical Microbiology|BMC Microbiology|Fems Microbiology Letters","Oregon State University|Pasteur Institute|University of Arizona|University of Pittsburgh|University of Connecticut Health Center|Salisbury University",NA,NA
"Ana Mena","Carlos III Health Institute","21",1165,2006,2020,"Biology|Microbiology|Pseudomonas aeruginosa|Virology|Cystic fibrosis|Somatic hypermutation|Respiratory infection|Meropenem|Pseudomonadaceae|Immunology","Journal publications|Other","Antonio Oliver|José L. Pérez|Nuria Borrell|Sebastián Albertí|María D. Maciá|Carlos Juan|Virginia Plasencia|Laura García|José I. Ayestarán|Olga Hidalgo","Clinical Microbiology and Infection|Journal of Bacteriology|Journal of Antimicrobial Chemotherapy|Antimicrobial Agents and Chemotherapy|Journal of Clinical Microbiology|Microbiology|Pediatric Infectious Disease Journal|International Journal of Medical Microbiology|European Journal of Clinical Microbiology & Infectious Diseases|Anaerobe","Fred Hutchinson Cancer Research Center|University of British Columbia|University of Washington|Spanish National Research Council|AstraZeneca|Hochschule Hannover|University of Milan|Albany College of Pharmacy and Health Sciences|Universidade Federal de Minas Gerais|Federal University of Ceará",NA,NA
"Henry E. Cerny",NA,"1",12,2006,2006,"Peripheral blood mononuclear cell|Virology|Moraxella|Hemolysis|Moraxella bovis|Infectious bovine keratoconjunctivitis|Branhamella|Virulence|Biology|Microbiology","Journal publications","Douglas G. Rogers|Susanne Hinkley|J. T. Gray|David R. Smith","Journal of Clinical Microbiology","University of Nebraska–Lincoln|University of Guelph",NA,NA
"Suharni Mohamad","Universiti Sains Malaysia","21",169,2005,2019,"Virology|Biology|Antibody|Antigen|Toxocariasis|Microbiology|Immunoglobulin G|Serology|Immunology|Recombinant DNA","Journal publications|Patents|Other","Rahmah Noordin|Norhaida Che Azmi|H. V. Smith|Mun Y. Fong|Rick M. Maizels|Siti Suraiya|Rafidah Hanim Shueb|Habsah Hasan|Chan Yean Yean|Nur Amalina Khazani","Journal of Clinical Microbiology|Acta Tropica|Journal of Tropical Medicine|Brazilian Journal of Infectious Diseases|Journal of Oral Microbiology|Journal of Infection in Developing Countries|Journal of Experimental & Clinical Medicine|Transfusion Medicine Reviews|Bangladesh Journal of Medical Science|Asian pacific Journal of Tropical Biomedicine","Universiti Sains Malaysia|University of Malaya|Stobhill Hospital|University of Edinburgh|University of Sharjah|University of Hong Kong|Forest Research Institute",NA,NA
"Adis Tasanarong","Thammasat University","17",326,2009,2019,"Medicine|Diabetes mellitus|Internal medicine|Renal function|Acute kidney injury|Creatinine|Intensive care medicine|Surgery|Nephropathy|Nephrotoxicity","Journal publications|Other","Michele Andreucci|Richard Solomon|Dilok Piyayotai|Pisit Hutayanon|Anchalee Vohakiat|Supranee Kongkham|Soodkate Duangchana|Sangduen Sumransurp|Boonlawat Homvises|Opas Satdhabudha","BioMed Research International|Nephrology Dialysis Transplantation|BMC Nephrology|BMC Complementary and Alternative Medicine|Journal of the Medical Association of Thailand Chotmaihet thangphaet|Nefrologia|Planta Medica","Thammasat University|University of Vermont|Magna Græcia University",NA,NA
"Anahita Rahmani","Tehran University of Medical Sciences","3",33,2013,2015,"Neurogenesis|Phosphorylation|AKT1|Stem cell|Cancer research|Biology|Internal medicine|Endocrinology|Dehydroepiandrosterone|Nerve growth factor","Journal publications","Danial Kheradmand|Peyman Keyhanvar|Amir Darbandi-Azar|Alireza Shoae-Hassani","BioMed Research International|Advances in Pharmacological Sciences","Iran University of Medical Sciences|Tehran University of Medical Sciences|Islamic Azad University of Mashhad|Islamic Azad University",NA,NA
"Gurbet Celik","Pamukkale University","13",48,2011,2016,"Biochemistry|Antioxidant|Glutathione peroxidase|Enzyme|Biology|Ellagic acid|Cytochrome P450|Glutathione|Chemistry|Pharmacology","Journal publications|Other","Alaattin Sen|Asli Semiz|Orhan Adali|Serdar Karakurt|Sevki Arslan|Ayse Mine Gencler-Ozkan|Gürkan Semiz|Erhan Gönen|Thomas P. Umile|Ebru Ince","BioMed Research International|Natural Product Research|Nutrition and Cancer|Medicinal Chemistry Research|Pharmaceutical Biology|European Journal of Drug Metabolism and Pharmacokinetics|Journal of Neuroimmunology|FEBS Journal|Archives of Biological Sciences|Turkish Journal of Biochemistry-turk Biyokimya Dergisi","Pamukkale University|Middle East Technical University|Ankara University|Villanova University|Selçuk University|Istanbul University",NA,NA
"Young-Man Lee","Kyung Hee University","17",624,2008,2016,"Biology|p38 mitogen-activated protein kinases|Molecular biology|Immunology|MAPK/ERK pathway|Heme oxygenase|Interleukin|Osteocalcin|Osteopontin|Signal transduction","Journal publications","Eun-Cheol Kim|Sang-Im Lee|Q-Schick Auh|Kyung-San Min|Youn-Chul Kim|Young-Suk Kim|Deok-Won Lee|Gil-Saeng Jeong|Suk-Keun Lee|Won-Jung Bae","Journal of Endodontics|Journal of Periodontal Research|Journal of Cellular Biochemistry|Toxicology in Vitro|BioMed Research International|Cytokine|Stem Cells and Development|Planta Medica|Journal of Periodontology|Journal of Dental Research","Kyung Hee University|Wonkwang University|Chonbuk National University|Korea University|Yanbian University|Chosun University|Sacred Heart Hospital|Pusan National University|Gachon University|UPRRP College of Natural Sciences",NA,NA
"Chih-Zen Chang","University of Virginia","15",55,2000,2017,"Medicine|Vasospasm|Cerebral vasospasm|Anesthesia|Pharmacology|Biochemistry|Western blot|Subarachnoid hemorrhage|Akt/PKB signaling pathway|Arctigenin","Journal publications|Other","Shu-Chuan Wu|Aij-Lie Kwan|Chih-Lung Lin|Chia-Mao Chang|Arco Y. Jeng|Shen-Long Howng|Aij-Lie Kwan|Neal F. Kassell|Chee-Yin Chai|Yu-Hua Huang","BioMed Research International|Neurosurgery|Clinical & Developmental Immunology|Journal of Vascular Research|Neuroreport|Journal of Cardiovascular Pharmacology|Kaohsiung Journal of Medical Sciences|Journal of Neurology and Neurophysiology","Kaohsiung Medical University|University of Virginia",NA,NA
"Jaeson Santos Calla-Choque","CINVESTAV","1",7,2014,2014,"Gene|Northwestern blot|Molecular biology|Regulation of gene expression|Electrophoretic mobility shift assay|Small hairpin RNA|Trichomonas vaginalis|RNA-binding protein|RNA|Biology","Journal publications","Leticia Avila-González|Rossana Arroyo|Elisa Elvira Figueroa-Angulo","BioMed Research International","CINVESTAV",NA,NA
"Li Han","Zhengzhou University","5",54,2012,2016,"Medicine|Western blot|Alpha-2 adrenergic receptor|Proinflammatory cytokine|Tumor necrosis factor alpha|Splenectomy|Inflammation|Agonist|Postoperative cognitive dysfunction|Dexmedetomidine","Journal publications","Jinhua Jiang|Jingmin Zhang|Qingduan Wang|Yubing Zhou|Xiaojuan Guo|Xiao-Lan Qian|Wei Zhang|Ming-Zheng Liu|Youmei Peng|Ning Wang","European Journal of Pharmacology|Evidence-based Complementary and Alternative Medicine|BioMed Research International|Cancer Chemotherapy and Pharmacology|Cancer Biomarkers","Zhengzhou University|Soochow University (Taiwan)",NA,NA
"Silvana Lorena Della Penna","University of Buenos Aires","13",62,2006,2017,"Internal medicine|Endocrinology|Kidney|Angiotensin II|Medicine|Natriuresis|Sodium|Oxidative stress|Diabetes mellitus|Renin–angiotensin system","Journal publications","Jorge E. Toblli|María Inés Rosón|Belisario E. Fernández|Susana Gorzalczany|Gabriel Cao|Marcela Pandolfo|Marcelo Roberto Choi|Elsa Zotta|Nicolás Martín Kouyoumdzian|Natalia Lucía Rukavina Mikusic","World journal of nephrology|BioMed Research International|American Journal of Nephrology|Journal of Cellular Physiology|Regulatory Peptides|Journal of Physiology and Biochemistry|Hypertension Research|Biotechnic & Histochemistry|Anti-inflammatory & anti-allergy agents in medicinal chemistry|Kidney & Blood Pressure Research","University of Buenos Aires",NA,NA
"Mao-Lin Ho","Chung Shan Medical University","3",109,2010,2015,"Biochemistry|In vitro|In vivo|Melanoma|Medicine|Pathology|Western blot|Metastasis|Motility|Cell culture","Journal publications","Jia-Yuh Chen|Yih-Shou Hsieh|Pei-Ni Chen|Wu-Hsien Kuo|Kuo-Shuen Chen|Shu-Jiuan Lin|Jia-Jing Chen|Dong-Yih Kuo|Shu-Chen Chu","Evidence-based Complementary and Alternative Medicine|Nutrition and Cancer","Central Taiwan University of Science and Technology|Chung Shan Medical University",NA,NA
"Chao-Bin Yeh","Chung Shan Medical University","68",474,2007,2019,"Medicine|Hepatocellular carcinoma|Cancer research|Internal medicine|Biology|Pathology|Diabetes mellitus|Molecular biology|Retrospective cohort study|Western blot","Journal publications|Other","Shun-Fa Yang|Ming-Ju Hsieh|Ming Hsien Chien|Ming-Chih Chou|Hui Ling Chiou|Sai-Wai Ho|Yi-Hsien Hsieh|Yu-Hsun Wang|Ying-Hock Teng|Han-Wei Yeh","PLOS ONE|Evidence-based Complementary and Alternative Medicine|Journal of the American Geriatrics Society|Environmental Toxicology|Molecular Medicine Reports|BMJ Open|International Journal of Medical Sciences|Journal of Surgical Oncology|Medicine|Journal of Emergency Medicine","Chung Shan Medical University|Taipei Medical University|Chang Gung University|Memorial Hospital of South Bend|China Medical University (PRC)|Central Taiwan University of Science and Technology|University of Texas MD Anderson Cancer Center|Asia University (Japan)|Tainan University of Technology|Taipei Medical University Hospital",NA,NA
"Ying-Yi Chen","China Medical University (PRC)","9",137,2011,2015,"Biochemistry|Biology|Protein kinase B|PI3K/AKT/mTOR pathway|Antrodia cinnamomea|MAPK/ERK pathway|Cancer cell|Western blot|Matrix metalloproteinase|p38 mitogen-activated protein kinases","Journal publications","Ming Jyh Sheu|Chieh Hsi Wu|Yi Chung Chien|Pei Yu Chou|Fon Chang Liu|Wun Shaing Wayne Chang|Guang Jhong Huang|Tian Shung Wu|Hsu Chen Cheng|Shuang Yu","Phytomedicine|Evidence-based Complementary and Alternative Medicine|The American Journal of Chinese Medicine|BMC Complementary and Alternative Medicine","China Medical University (PRC)|National Chung Hsing University|National Health Research Institutes|Chung Shan Medical University",NA,NA
"Chih-Yu Peng","Chung Shan Medical University","2",160,2007,2012,"Matrix metalloproteinase|Biochemistry|Cancer cell|Cytotoxicity|Cancer|Pathology|Zymography|Matrix metalloproteinase inhibitor|Mouth neoplasm|Cancer research","Journal publications","Yu-Chao Chang|Shun-Fa Yang|Yung-Chuan Ho|Ming-Yung Chou|Kun-Tu Yeh|Ming-Yung Chou|Chiao-Wen Lin|Ming-Ju Hsieh|Yueh-Min Lin|Hui-Wen Yang","Journal of Oral Pathology & Medicine|Evidence-based Complementary and Alternative Medicine","Chung Shan Medical University",NA,NA
"Chiung-Chyi Shen","National Yang-Ming University","14",243,2010,2016,"Sciatic nerve|Medicine|Stimulation|Pathology|Nerve guidance conduit|Adipose tissue|Biomedical engineering|Compound muscle action potential|Materials science|Stem cell","Journal publications","Yi-Chin Yang|Bai-Shuan Liu|Shiuh-Chuan Chan|Ming-Tsang Chiao|Tsung-Bin Huang|Hsu-Chen Cheng|Chen-Huan Lin|Shun-Hsung Chang|Hsu-Tung Lee|Meng-Yin Yang","Evidence-based Complementary and Alternative Medicine|Journal of Biomedical Materials Research Part A|Current Neurovascular Research|Injury-international Journal of The Care of The Injured|Journal of Biomedical Materials Research Part B|Journal of Tissue Engineering and Regenerative Medicine|Journal of Neuroscience and Neuroengineering","Central Taiwan University of Science and Technology|National Yang-Ming University|National Chung Hsing University|Chang Jung Christian University|National Defense Medical Center",NA,NA
"Li Li","Guangdong Medical College","10",186,2013,2019,"Biology|Biochemistry|Oxidative stress|Antioxidant|Lipid peroxidation|Medicine|Pharmacology|GPX2|SOD3|Fatty liver","Journal publications","Liyi Zou|Tie Wu|Helu Liu|Shaoru Chen|Jikun Du|Shining Zhou|Jikun Du|Yuhong Dou|Peipei Li|Rui Chen","PLOS ONE|Evidence-based Complementary and Alternative Medicine|Experimental and Toxicologic Pathology|Cellular and Molecular Neurobiology|Neurochemical Research|Journal of Bioscience and Bioengineering|Applied Microbiology and Biotechnology|Biotechnology Advances","Guangdong Medical College|Guangzhou Medical University|Sun Yat-sen University|Inje University|Chinese Academy of Fishery Sciences|University of Macau|KAIST",NA,NA
"Nabilatul Hani Mohd-Radzman","Universiti Teknologi MARA","3",21,2013,2016,"Stevia rebaudiana|Medicine|3T3-L1|Stevioside|Insulin|Kinase|Adipokine|Insulin resistance|Hyperinsulinemia|Type ii diabetes","Journal publications","Aishah Adam|Zainah Adam|Siti Safura Jaapar|Wan Iryani Wan Ismail","Evidence-based Complementary and Alternative Medicine","Malaysian Nuclear Agency|Universiti Teknologi MARA",NA,NA
"Zhiqiang Wang",NA,"2",5,2014,2015,"Biochemistry|Medicine|Molecular biology|Gene knockdown|Apoptosis|Western blot|MTT assay|Cell cycle|Viability assay|Flow cytometry","Journal publications","Xindong Zhang|Dalin Sun|Baofang Jin|Yugui Cui|Chao Gao","Evidence-based Complementary and Alternative Medicine",NA,NA,NA
"Ya-min Zhang","Peking Union Medical College Hospital","5",49,2014,2020,"Pharmacology|Medicine|Electroacupuncture|Ischemia|Reperfusion injury|Stroke|Anesthesia|Acupuncture|Aquaporin 4|Brain ischemia","Journal publications","Sun H|Suhui Chen|Hong Xu|Fuming Wang|Fu-ming Wang|Ying-kui Si|Huanyuan Wang","PLOS ONE|Evidence-based Complementary and Alternative Medicine|Nitric Oxide","Peking Union Medical College Hospital",NA,NA
"Lilian Amrein","Jewish General Hospital","18",1016,2007,2017,"Internal medicine|Biology|Endocrinology|Insulin|Metformin|Cancer|AMPK|Medicine|Cancer research|DNA damage","Journal publications","Michael Pollak|Carolyn Algire|Lawrence Panasci|Raquel Aloyz|Mahvash Zakikhani|Olga Moiseeva|Luca A. Petruccelli|Xavier Deschênes-Simard|Elena Birman|Gerardo Ferbeyre","Cancer Prevention Research|Oncogene|Endocrine-related Cancer|Frontiers in Pharmacology|Chemical Science|British Journal of Haematology|Leukemia Research|Journal of Pharmacology and Experimental Therapeutics|Cancer Chemotherapy and Pharmacology|Cancer Research","Jewish General Hospital|McGill University|University of Manitoba|Université de Montréal|University of Pittsburgh|University of Cambridge|McGill University Health Centre|Dalhousie University|Cross Cancer Institute|University of Calgary",NA,NA
"Gong Yang","Fudan University","34",2505,2004,2016,"Biology|Ovarian cancer|Cancer|Cancer research|Carcinogenesis|Immunology|Molecular biology|Cell cycle|Oncogene|Cell biology","Journal publications","Jinsong Liu|Imelda Mercado-Uribe|Daniel G. Rosen|Robert C. Bast|Gordon B. Mills|Guangzhi Liu|Xue Xiao|Bin Chang|Jennifer A. Thompson-Lanza|Xiaoqing Guo","Clinical Cancer Research|Proceedings of the National Academy of Sciences of the United States of America|Cancer Research|Journal of Biological Chemistry|Cancer|International Journal of Cancer|Journal of the National Cancer Institute|Molecular Cancer Therapeutics|Frontiers in Bioscience|Cell Cycle","University of Texas MD Anderson Cancer Center|Fudan University|University of British Columbia|Harvard University|Sichuan University|University of California, Los Angeles|Boston University|University of Tokyo|Shanghai Normal University|University of Alberta",NA,NA
"Sujit K. Bhutia","National Institute of Technology, Rourkela","111",9693,2006,2020,"Biology|Autophagy|Cell biology|Programmed cell death|Vacuole|Autophagosome|Lysosome|Chaperone-mediated autophagy|MAP1LC3B|Autolysosome","Journal publications|Other","Paul Dent|Rajesh Agarwal|Saverio Bettuzzi|Susana Castro-Obregon|Michele Caraglia|Stefan Böckler|Monika Cahova|Hikmet Budak|Fraser P. Coxon|Jayanta Debnath","Autophagy|Cancer Research|Apoptosis|Biochimica et Biophysica Acta|Journal of Cellular Physiology|International Immunopharmacology|Proceedings of the National Academy of Sciences of the United States of America|Analyst|Dalton Transactions|Oral Oncology","National Institute of Technology, Rourkela|Virginia Commonwealth University|Kyung Hee University|Washington University in St. Louis|Indian Institute of Science|Icahn School of Medicine at Mount Sinai|University of Alabama at Birmingham|University of Colorado Denver|University of Chicago|Columbia University",NA,NA
"Upal K. Basu Roy","University of Arizona","6",250,2006,2015,"Biology|Cancer research|Cell biology|Protein kinase B|Carcinogenesis|Molecular biology|Caveolae|Caveolin 1|Cell migration|RHOA","Journal publications","Eugene W. Gerner|Natalia A. Ignatenko|Rebecca S. Henkhaus|Fotios Loupakis|Chiara Cremolini|Nathaniel S. Rial|Karen L. Kachel|Dora Cavallo-Medved|Bonnie F. Sloane|Karen A. Blohm-Mangone","International Journal of Cancer|Molecular Carcinogenesis|Neoplasia|Nutrition and Cancer","University of Arizona|University of Pisa|Wayne State University|Celgene",NA,NA
